date,1. open,2. high,3. low,4. close,5. volume
2020-11-20 10:17:00,212.005,212.11,211.91,212.06,26854.0
2020-11-20 10:16:00,212.095,212.135,211.97,212.01,27801.0
2020-11-20 10:15:00,211.995,212.14,211.9812,212.08,38791.0
2020-11-20 10:14:00,211.86,212.0,211.86,211.99,48504.0
2020-11-20 10:13:00,212.06,212.07,211.84,211.84,53136.0
2020-11-20 10:12:00,212.02,212.1,211.98,212.0621,48584.0
2020-11-20 10:11:00,212.06,212.2,212.02,212.03,44100.0
2020-11-20 10:10:00,212.0653,212.1,212.02,212.055,24085.0
2020-11-20 10:09:00,212.05,212.11,212.02,212.05,45069.0
2020-11-20 10:08:00,211.99,212.045,211.86,212.03,58413.0
2020-11-20 10:07:00,211.99,212.065,211.96,211.98,56853.0
2020-11-20 10:06:00,211.895,212.04,211.895,211.99,55633.0
2020-11-20 10:05:00,211.845,211.99,211.825,211.8892,56327.0
2020-11-20 10:04:00,211.97,212.0,211.8,211.84,57095.0
2020-11-20 10:03:00,212.24,212.25,211.97,211.98,46457.0
2020-11-20 10:02:00,212.14,212.34,212.13,212.2315,38936.0
2020-11-20 10:01:00,212.19,212.19,211.94,212.16,43852.0
2020-11-20 10:00:00,212.185,212.27,212.04,212.19,65726.0
2020-11-20 09:59:00,212.09,212.21,211.99,212.19,32537.0
2020-11-20 09:58:00,211.9428,212.1821,211.88,212.06,59514.0
2020-11-20 09:57:00,211.89,211.95,211.7997,211.94,37757.0
2020-11-20 09:56:00,212.005,212.125,211.89,211.91,54256.0
2020-11-20 09:55:00,212.04,212.1,211.96,212.0,73404.0
2020-11-20 09:54:00,212.23,212.29,212.01,212.02,56773.0
2020-11-20 09:53:00,212.2,212.3618,212.2,212.25,29851.0
2020-11-20 09:52:00,212.21,212.35,212.146,212.19,46549.0
2020-11-20 09:51:00,212.125,212.27,212.12,212.22,88896.0
2020-11-20 09:50:00,211.82,212.14,211.81,212.13,67308.0
2020-11-20 09:49:00,211.75,211.91,211.75,211.8279,37042.0
2020-11-20 09:48:00,211.84,211.88,211.745,211.76,36979.0
2020-11-20 09:47:00,211.73,211.87,211.66,211.8399,63918.0
2020-11-20 09:46:00,211.74,211.91,211.72,211.76,71699.0
2020-11-20 09:45:00,211.675,211.7848,211.63,211.74,52288.0
2020-11-20 09:44:00,211.84,211.84,211.63,211.68,40728.0
2020-11-20 09:43:00,211.7,211.855,211.6,211.85,62460.0
2020-11-20 09:42:00,211.74,211.82,211.66,211.7,59859.0
2020-11-20 09:41:00,211.58,211.82,211.52,211.755,56424.0
2020-11-20 09:40:00,211.64,211.76,211.59,211.59,48477.0
2020-11-20 09:39:00,211.4,211.72,211.3372,211.66,59641.0
2020-11-20 09:38:00,211.74,211.79,211.37,211.4,81379.0
2020-11-20 09:37:00,211.64,211.97,211.54,211.78,138441.0
2020-11-20 09:36:00,211.66,211.78,211.51,211.65,85329.0
2020-11-20 09:35:00,212.06,212.07,211.66,211.69,71389.0
2020-11-20 09:34:00,212.02,212.174,211.9,212.04,111818.0
2020-11-20 09:33:00,211.84,212.08,211.69,212.0599,99078.0
2020-11-20 09:32:00,212.1999,212.305,211.8,211.88,87704.0
2020-11-20 09:31:00,212.2,212.7,212.0,212.14,1351614.0
2020-11-20 09:30:00,212.69,212.77,212.19,212.2,26075.0
2020-11-20 09:29:00,212.4,213.0,212.35,212.68,14906.0
2020-11-20 09:28:00,212.42,212.42,212.42,212.42,500.0
2020-11-20 09:26:00,212.3,212.3,212.3,212.3,621.0
2020-11-20 09:25:00,212.2,212.31,212.2,212.3,794.0
2020-11-20 09:24:00,212.33,212.33,212.33,212.33,541.0
2020-11-20 09:23:00,212.33,212.33,212.33,212.33,664.0
2020-11-20 09:22:00,212.46,212.46,212.46,212.46,294.0
2020-11-20 09:19:00,212.47,212.47,212.47,212.47,302.0
2020-11-20 09:18:00,212.37,212.4,212.34,212.4,743.0
2020-11-20 09:17:00,212.43,212.48,212.34,212.47,3192.0
2020-11-20 09:16:00,212.43,212.43,212.43,212.43,1943.0
2020-11-20 09:15:00,212.42,212.43,212.42,212.43,6080.0
2020-11-20 09:14:00,212.47,212.47,212.43,212.43,975.0
2020-11-20 09:13:00,212.5,212.5,212.5,212.5,1925.0
2020-11-20 09:12:00,212.47,212.47,212.47,212.47,239.0
2020-11-20 09:11:00,212.46,212.47,212.46,212.47,1453.0
2020-11-20 09:10:00,212.47,212.47,212.45,212.47,5433.0
